Sanchez,T	PIT	C	3	8	2	3	0	0	0	0	1	3	0	0	.375	.444	.375	.819	518000	
Cabrera,M	DET	1B	119	429	64	145	28	1	18	76	77	82	1	1	.338	.440	.534	.974	29200000	
Gordon,D	MIA	2B	145	615	88	205	24	8	4	46	25	91	58	20	.333	.359	.418	.776	2500000	
Harper,B	WSH	RF	153	521	118	172	38	1	42	99	124	131	6	4	.330	.460	.649	1.109	3750000	
Goldschmidt,P	ARI	1B	159	567	103	182	38	2	33	110	118	151	21	5	.321	.435	.570	1.005	6400000	
Bogaerts,X	BOS	SS	156	613	84	196	35	3	7	81	32	101	10	2	.320	.355	.421	.776	543000	
Posey,B	SF	C	150	557	74	177	28	0	19	95	56	52	2	0	.318	.379	.470	.849	18555555	
Pollock,A	ARI	CF	157	609	111	192	39	6	20	76	53	89	39	7	.315	.367	.498	.865	519500	
Escobar,Y	WSH	3B	139	535	75	168	25	1	9	56	45	70	2	2	.314	.375	.415	.790	6500000	
Votto,J	CIN	1B	158	545	95	171	33	2	29	80	143	135	11	3	.314	.459	.541	1.000	22500000	
Altuve,J	HOU	2B	154	638	86	200	40	4	15	66	33	67	38	13	.313	.353	.459	.812	3125000	
Peralta,D	ARI	LF	149	462	61	144	26	10	17	78	44	107	9	4	.312	.371	.522	.893	512000	
Panik,J	SF	2B	100	382	59	119	27	2	8	37	38	42	3	2	.312	.378	.455	.833	522500	
Brantley,M	CLE	LF	137	529	68	164	45	0	15	84	60	51	15	1	.310	.379	.480	.859	6250000	
Morneau,J	COL	1B	49	168	19	52	10	3	3	15	13	25	0	0	.310	.363	.458	.821	6250000	
Cain,L	KC	CF	140	551	101	169	34	6	16	72	37	98	28	6	.307	.361	.477	.838	2725000	
Travis,D	TOR	2B	62	217	38	66	18	0	8	35	18	43	3	1	.304	.361	.498	.859	507500	
Dickerson,C	COL	LF	65	224	30	68	18	2	10	31	10	56	0	1	.304	.333	.536	.869	512500	
Kipnis,J	CLE	2B	141	565	86	171	43	7	9	52	57	107	12	8	.303	.372	.451	.823	8750000	
Cruz,N	SEA	DH	152	590	90	178	22	1	44	93	59	164	3	2	.302	.369	.566	.936	14250000	
LeMahieu,D	COL	2B	150	564	85	170	21	5	6	61	50	107	23	3	.301	.358	.388	.746	517500	
Span,D	WSH	CF	61	246	38	74	17	0	5	22	25	26	11	0	.301	.365	.431	.796	9000000	
Raburn,R	CLE	LF	82	173	22	52	16	1	8	29	23	44	0	0	.301	.393	.543	.936	2425000	
Hundley,N	COL	C	103	366	45	110	21	5	10	43	21	76	5	6	.301	.339	.467	.807	3125000	
Iglesias,J	DET	SS	120	416	44	125	17	3	2	23	25	44	11	8	.300	.347	.370	.717	1443750	
Yelich,C	MIA	LF	126	476	63	143	30	2	7	44	47	101	16	5	.300	.366	.416	.782	7081428	
Pierzynski,A	ATL	C	113	407	38	122	24	1	9	49	19	37	0	2	.300	.339	.430	.769	2000000	
Trout,M	LAA	CF	159	575	104	172	32	6	41	90	92	158	11	7	.299	.402	.590	.991	24083333	
Hosmer,E	KC	1B	158	599	98	178	33	5	18	93	61	108	7	3	.297	.363	.459	.822	6950000	
Herrera,O	PHI	CF	147	495	64	147	30	3	8	41	28	129	16	8	.297	.344	.418	.762	507500	
Donaldson,J	TOR	3B	158	620	122	184	41	2	41	123	73	133	6	0	.297	.371	.568	.939	4300000	
Kinsler,I	DET	2B	154	624	94	185	35	7	11	73	43	80	10	6	.296	.342	.428	.770	15000000	
Markakis,N	ATL	RF	156	612	73	181	38	1	3	53	70	83	2	1	.296	.370	.376	.746	11000000	
Kendrick,H	LAD	2B	117	464	64	137	22	2	9	54	27	82	6	2	.295	.336	.409	.746	8375000	
Duffy,M	SF	3B	149	573	77	169	28	6	12	77	30	96	12	0	.295	.334	.428	.762	509000	
Cervelli,F	PIT	C	130	451	56	133	17	5	7	43	46	94	1	1	.295	.370	.401	.771	987500	
Burns,B	OAK	CF	125	520	70	153	18	9	5	42	26	81	26	8	.294	.334	.392	.726	507500	
Phillips,B	CIN	2B	148	588	69	173	19	2	12	70	27	68	23	3	.294	.328	.395	.723	12083333	
Turner,J	LAD	3B	126	385	55	113	26	1	16	60	36	71	5	2	.294	.370	.491	.861	2500000	
Heyward,J	STL	RF	154	547	79	160	33	4	13	60	56	90	23	3	.293	.359	.439	.797	6650000	
McCutchen,A	PIT	CF	157	566	91	165	36	3	23	96	98	133	11	5	.292	.401	.488	.889	8583333	
Pedroia,D	BOS	2B	93	381	46	111	19	1	12	42	38	51	2	2	.291	.356	.441	.797	13750000	
Abreu,J	CWS	1B	154	613	88	178	34	3	30	101	39	140	0	0	.290	.347	.502	.850	11333333	
Morales,K	KC	DH	158	569	81	165	41	2	22	106	58	103	0	0	.290	.362	.485	.847	8500000	
Wright,D	NYM	3B	38	152	24	44	7	0	5	17	22	36	2	1	.289	.379	.434	.814	17250000	
Stewart,C	PIT	C	58	159	9	46	8	0	0	15	6	29	0	0	.289	.320	.340	.659	1225000	
Prado,M	MIA	3B	129	500	52	144	22	2	9	63	37	68	1	0	.288	.338	.394	.732	10000000	
Beltre,A	TEX	3B	143	567	83	163	32	4	18	83	41	65	1	0	.287	.334	.453	.788	16000000	
Kang,J	PIT	3B	126	421	60	121	24	2	15	58	28	99	5	4	.287	.355	.461	.816	2750000	
Arenado,N	COL	3B	157	616	97	177	43	4	42	130	34	110	2	5	.287	.323	.575	.898	512500	
Aoki,N	SF	LF	93	355	42	102	12	3	5	26	30	25	14	5	.287	.353	.380	.733	4000000	
Clevenger,S	BAL	C	30	101	11	29	4	2	2	15	4	13	0	0	.287	.314	.426	.740	514000	
Harrison,J	PIT	2B	114	418	57	120	29	1	4	28	19	71	10	8	.287	.327	.390	.717	6825000	
Cano,R	SEA	2B	156	624	82	179	34	1	21	79	43	107	2	6	.287	.334	.446	.779	24000000	
Marte,S	PIT	LF	153	579	84	166	30	2	19	81	27	123	30	10	.287	.337	.444	.780	5166666	
Blackmon,C	COL	CF	157	614	93	176	31	9	17	58	46	112	43	13	.287	.347	.450	.797	517500	
Machado,M	BAL	3B	162	633	102	181	30	1	35	86	70	111	20	8	.286	.359	.502	.861	548000	
Villar,J	HOU	SS	53	116	18	33	7	1	2	11	10	29	7	2	.284	.339	.414	.752	513000	
Moustakas,M	KC	3B	147	549	73	156	34	1	22	82	43	76	1	2	.284	.348	.470	.817	2640000	
Alonso,Y	SD	1B	103	354	50	100	18	1	5	31	42	48	2	5	.282	.361	.381	.742	1650000	
Nunez,E	MIN	SS	72	188	23	53	14	1	4	20	12	29	8	4	.282	.327	.431	.758	1025000	
Martinez,J	DET	RF	158	596	93	168	33	2	38	102	53	178	3	2	.282	.344	.535	.879	3000000	
Forsythe,L	TB	2B	153	540	69	152	33	2	17	68	55	111	9	4	.281	.359	.444	.804	1100000	
Hechavarria,A	MIA	SS	130	470	54	132	17	6	5	48	23	78	7	2	.281	.315	.374	.689	1925000	
Murphy,D	NYM	2B	130	499	56	140	38	2	14	73	31	38	2	2	.281	.322	.449	.770	8000000	
Belt,B	SF	1B	137	492	73	138	33	5	18	68	56	147	9	3	.280	.356	.478	.834	3600000	
Loney,J	TB	1B	104	361	25	101	16	0	4	32	23	34	2	4	.280	.322	.357	.680	7000000	
Holt,B	BOS	2B	129	454	56	127	27	6	2	45	46	97	8	1	.280	.349	.379	.727	3500000	
Holliday,M	STL	LF	73	229	24	64	16	1	4	35	39	49	2	1	.279	.394	.410	.804	17142857	
Schoop,J	BAL	2B	86	305	34	85	17	0	15	39	9	79	2	0	.279	.306	.482	.788	515000	
Pillar,K	TOR	CF	159	586	76	163	31	2	12	56	28	85	25	4	.278	.314	.399	.713	512000	
Rizzo,A	CHC	1B	160	586	94	163	38	3	31	101	78	105	17	6	.278	.387	.512	.899	5857142	
Moreland,M	TEX	1B	132	471	51	131	27	0	23	85	32	112	1	0	.278	.330	.482	.812	2950000	
Lind,A	MIL	1B	149	502	72	139	32	0	20	87	66	100	0	0	.277	.360	.460	.820	7500000	
Freeman,F	ATL	1B	118	416	62	115	27	0	18	66	56	98	3	1	.276	.370	.471	.841	16875000	
Beltran,C	NYY	RF	133	478	57	132	34	1	19	67	45	85	0	0	.276	.337	.471	.808	15000000	
Arcia,O	MIN	LF	19	58	6	16	0	0	2	8	4	15	0	0	.276	.338	.379	.718	532500	
Springer,G	HOU	RF	102	388	59	107	19	2	16	41	50	109	16	4	.276	.367	.459	.826	512900	
Pence,H	SF	RF	52	207	30	57	13	1	9	40	16	48	4	1	.275	.327	.478	.806	18000000	
Gonzalez,A	LAD	1B	156	571	76	157	33	0	28	90	62	107	0	1	.275	.350	.480	.830	22000000	
Peralta,J	STL	SS	155	579	64	159	26	1	17	71	50	111	1	4	.275	.334	.411	.745	13250000	
Cabrera,M	CWS	LF	158	629	70	172	36	2	12	77	40	88	3	0	.273	.314	.394	.709	14000000	
Pena,B	CIN	C	108	333	17	91	17	0	0	18	29	34	2	0	.273	.334	.324	.659	1137500	
Ortiz,D	BOS	DH	146	528	73	144	37	0	37	108	77	95	0	1	.273	.360	.553	.913	16000000	
Reddick,J	OAK	RF	149	526	67	143	25	4	20	77	49	65	10	2	.272	.333	.449	.781	4100000	
Carpenter,M	STL	3B	154	574	101	156	44	3	28	84	81	151	4	3	.272	.365	.505	.871	8666666	
Giavotella,J	LAA	2B	129	453	51	123	25	5	4	49	32	59	2	1	.272	.318	.375	.694	516250	
Gordon,A	KC	LF	104	354	40	96	18	0	13	48	49	92	2	5	.271	.377	.432	.809	9375000	
Gonzalez,C	COL	RF	153	554	87	150	25	2	40	97	46	133	2	0	.271	.325	.540	.864	11428571	
Spangenberg,C	SD	2B	108	303	38	82	17	5	4	21	28	75	9	4	.271	.333	.399	.733	508500	
Molina,Y	STL	C	136	488	34	132	23	2	4	61	32	59	3	1	.270	.310	.350	.660	15000000	
Young,D	BAL	RF	52	174	20	47	6	0	2	16	4	29	0	0	.270	.289	.339	.628	2250000	
Longoria,E	TB	3B	160	604	74	163	35	1	21	73	51	132	3	1	.270	.328	.435	.764	13600000	
Aybar,E	LAA	SS	156	597	74	161	30	1	3	44	25	73	15	6	.270	.301	.338	.639	8750000	
Walker,N	PIT	2B	151	543	69	146	32	3	16	71	44	110	4	1	.269	.328	.427	.756	8000000	
Rosario,W	COL	1B	87	231	22	62	14	1	6	29	8	56	2	1	.268	.295	.416	.710	2800000	
Tolleson,S	TOR	2B	19	41	9	11	5	1	0	3	4	9	2	0	.268	.333	.439	.772	517300	
Jennings,D	TB	LF	28	97	9	26	2	1	1	7	8	17	5	3	.268	.324	.340	.664	3100000	
Pham,T	STL	CF	52	153	28	41	7	5	5	18	19	41	2	0	.268	.347	.477	.824	507500	
Wieters,M	BAL	C	75	258	24	69	14	1	8	25	21	67	0	0	.267	.319	.422	.742	8275000	
Maybin,C	ATL	CF	141	505	65	135	18	2	10	59	45	102	23	6	.267	.327	.370	.697	5000000	
Seager,K	SEA	3B	161	623	85	166	37	0	26	74	54	98	6	6	.266	.328	.451	.779	14285714	
Shuck,J	CWS	RF	79	143	15	38	8	2	0	15	16	16	7	5	.266	.340	.350	.689	516000	
Simmons,A	ATL	SS	147	535	60	142	23	2	4	44	39	48	5	3	.265	.321	.338	.660	8285714	
Cabrera,A	TB	SS	143	505	66	134	28	5	15	58	36	107	6	3	.265	.315	.430	.744	7500000	
Stanton,G	MIA	RF	74	279	47	74	12	1	27	67	34	95	4	2	.265	.346	.606	.952	25000000	
Mauer,J	MIN	1B	158	592	69	157	34	2	10	66	67	112	2	1	.265	.338	.380	.718	23000000	
Crawford,C	LAD	LF	69	181	19	48	9	2	4	16	10	41	10	2	.265	.304	.403	.707	20285714	
Kemp,M	SD	RF	154	596	80	158	31	3	23	100	39	147	12	2	.265	.312	.443	.755	20000000	
Guyer,B	TB	LF	128	332	51	88	21	2	8	28	25	61	10	4	.265	.359	.413	.771	515800	
Gregorius,D	NYY	SS	155	525	57	139	24	2	9	56	33	85	5	3	.265	.318	.370	.688	553900	
McCann,J	DET	C	114	401	32	106	18	5	7	41	16	90	0	1	.264	.297	.387	.683	507500	
Lucroy,J	MIL	C	103	371	51	98	20	3	7	43	36	64	1	0	.264	.326	.391	.717	2200000	
Gennett,S	MIL	2B	114	375	42	99	18	4	6	29	12	68	1	3	.264	.294	.381	.675	516500	
Kiermaier,K	TB	CF	151	505	62	133	25	12	10	40	24	95	18	5	.263	.298	.420	.718	513800	
Galvis,F	PHI	SS	151	559	63	147	14	5	7	50	30	103	10	1	.263	.302	.343	.645	513500	
Flores,W	NYM	SS	137	483	55	127	22	0	16	59	19	63	0	1	.263	.295	.408	.703	513543	
Lamb,J	ARI	3B	107	350	38	92	15	5	6	34	36	97	3	2	.263	.331	.386	.716	508500	
Wong,K	STL	2B	150	557	71	146	28	4	11	61	36	95	15	8	.262	.321	.386	.707	520000	
Davis,C	BAL	1B	160	573	100	150	31	0	47	117	84	208	2	3	.262	.361	.562	.923	12000000	
Tejada,R	NYM	SS	116	360	36	94	23	0	3	28	38	70	2	1	.261	.338	.350	.688	1880000	
Vogt,S	OAK	C	136	445	58	116	21	3	18	71	56	97	0	2	.261	.341	.443	.783	512500	
Odor,R	TEX	2B	120	426	54	111	21	9	16	61	23	79	6	7	.261	.316	.465	.781	513850	
Perez,S	KC	C	142	531	52	138	25	0	21	70	13	82	1	0	.260	.280	.426	.706	1400000	
Lawrie,B	OAK	3B	149	562	64	146	29	3	16	60	28	144	5	2	.260	.299	.407	.706	1925000	
Ozuna,M	MIA	CF	123	459	47	119	27	0	10	44	30	110	2	3	.259	.308	.383	.691	555000	
Gardner,B	NYY	LF	151	571	94	148	26	3	16	66	68	135	20	5	.259	.343	.399	.742	13000000	
Granderson,C	NYM	RF	157	580	98	150	33	2	26	70	91	151	11	6	.259	.364	.457	.821	15000000	
Headley,C	NYY	3B	156	580	74	150	29	1	11	62	51	135	0	2	.259	.324	.369	.693	13000000	
Cuddyer,M	NYM	LF	117	379	44	98	18	1	10	41	24	88	2	0	.259	.309	.391	.699	10500000	
Upton,M	SD	LF	87	205	23	53	12	4	5	17	21	62	9	3	.259	.327	.429	.757	14500000	
Upton,M	SD	LF	87	205	23	53	12	4	5	17	21	62	9	3	.259	.327	.429	.757	14500000	8541666	
Lagares,J	NYM	CF	143	441	47	114	16	5	6	41	16	87	7	3	.259	.289	.358	.647	4710739	
Andrus,E	TEX	SS	160	596	69	154	34	2	7	62	46	78	25	9	.258	.309	.357	.667	15000000	
Davis,R	DET	CF	112	341	55	88	16	11	8	30	22	76	18	8	.258	.306	.440	.746	5000000	
Miller,B	SEA	SS	144	438	44	113	22	4	11	46	47	101	13	4	.258	.329	.402	.730	527600	
Cozart,Z	CIN	SS	53	194	28	50	10	1	9	28	14	29	3	3	.258	.310	.459	.769	2350000	
Francoeur,J	PHI	RF	118	326	34	84	16	1	13	45	13	77	0	2	.258	.286	.433	.718	925000	
Semien,M	OAK	SS	155	556	65	143	23	7	15	45	42	132	11	5	.257	.310	.405	.715	510000	
Segura,J	MIL	SS	142	560	57	144	16	5	6	50	13	93	25	6	.257	.281	.336	.616	534000	
Freese,D	LAA	3B	121	424	53	109	27	0	14	56	31	107	1	1	.257	.323	.420	.743	6425000	
Ellsbury,J	NYY	CF	111	452	66	116	15	2	7	33	35	86	21	9	.257	.318	.345	.663	21857143	
Escobar,A	KC	SS	148	612	76	157	20	5	3	47	26	75	17	5	.257	.293	.320	.614	2625000	
Crawford,B	SF	SS	143	507	65	130	33	4	21	84	39	119	6	4	.256	.321	.462	.782	3175000	
